15,15,,,,,,,,,,,,,
Corner-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Wall-0,Corner-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Wall-270,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Ground-0,Wall-90
Corner-270,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Wall-180,Corner-180
